100 timeslots timeslots  
n 32  81
n 48  89
n 32  77
n 40  82
n 38  78
n 34  80
n 40  83
n 42  81
n 35  77
n 42  86

200 timeslots timeslots 
n 73  167
n 68  163
n 73  161
n 68  165
n 70  154
n 66  169
n 69  166
n 76  162
n 71  166
n 65  161

300 timeslots timeslots 
n 99   251
n 97   244
n 91   245
n 112  261
n 93   235
n 102  243
n 91   242
n 104  239
n 98   239
n 95   251

400 timeslots timeslots 
n 105  241
n 93  252
n 96  247
n 101 246
n 96  240
n 93  238
n 109 242
n 101 252
n 95  252
n 102 246

500 timeslots timeslots 
n 126  320
n 124  330
n 124  332
n 144  337
n 135  331
n 131  336
n 130  338
n 128  322
n 132  330
n 132  326
